6C,8B,8E,76,81,86,7B,78,8E,8C,78,81,6B,80,85,87
7F,83,68,7C,73,88,89,9D,93,77,8C,93,80,86,6D,70
78,7A,74,92,64,7F,86,91,98,7E,87,74,77,91,92,87
76,69,6A,71,97,83,9B,73,78,7A,71,83,A9,8D,84,75
7E,93,70,70,90,6E,87,89,89,7F,9B,6C,85,91,99,92
7B,7E,90,99,75,68,78,83,8E,7B,7C,61,78,6A,92,82
69,73,7D,73,96,72,83,73,8F,A1,7B,96,7D,79,85,6A
99,7C,6E,79,87,7B,81,86,81,6F,83,7F,80,8F,95,88
8E,8E,7B,83,70,77,92,72,8B,78,98,75,89,7D,85,74
6A,8C,78,85,7D,8C,66,A1,86,7B,66,81,61,91,73,8C
6A,80,7F,6A,A0,69,7D,8E,78,80,72,74,83,59,88,75
57,61,8E,60,84,86,67,76,85,9F,72,80,84,78,71,7B
90,82,86,9D,75,89,A4,7B,8D,90,89,8A,87,72,91,7B
6D,70,7A,71,80,74,89,76,70,8F,72,6C,92,82,72,7A
7A,70,73,78,87,5E,7C,93,7C,84,88,70,82,69,8C,74
78,97,92,85,9B,6D,81,8C,8B,80,74,6F,7E,6C,81,7D
74,6A,91,7C,79,7B,78,65,7E,7F,83,72,89,8D,7C,7F
85,81,91,81,AF,8C,78,85,73,9B,A7,93,85,82,8C,87
A3,76,88,93,76,84,67,7A,87,7F,87,84,73,85,87,75
74,87,6E,8B,77,81,9D,79,80,74,78,96,74,7E,73,78
78,89,6C,84,84,81,67,7D,6C,7A,82,80,81,87,87,7E
89,74,5F,77,8B,7A,9A,87,89,8B,99,76,70,82,81,70
8D,88,78,8D,81,7F,7A,78,73,6E,A2,7B,A6,7B,82,99
85,8F,99,82,84,75,91,78,95,75,6C,65,94,82,99,80
7E,7B,8A,81,90,7B,81,7E,68,74,68,72,7E,72,80,7B
88,84,91,7B,71,71,75,76,8E,88,82,85,7E,95,70,96
8C,8C,7E,A4,93,85,7F,6F,4A,92,8C,81,94,5B,96,66
7B,6C,89,91,92,83,77,5C,80,8D,7D,83,7C,67,7F,7C
6A,8D,78,80,7B,80,6A,6C,95,6A,82,72,7E,6F,81,78
77,78,9D,81,7C,76,78,77,7C,80,6B,69,8E,73,81,7D
6C,84,84,9B,98,80,7B,83,9A,78,86,8A,7E,95,92,86
8E,98,80,7D,66,7A,84,63,69,7E,93,92,71,7E,6A,98
7D,91,6D,72,79,80,7E,7B,6B,60,60,A2,89,83,7D,76
91,86,75,78,87,A4,81,86,7D,84,7D,8F,6C,8E,82,91
7C,7D,82,86,8F,8A,83,98,6F,92,6F,7A,74,6F,94,68
77,80,73,7F,83,69,8F,83,76,72,8D,68,7C,7A,7D,76
80,7C,77,78,98,8B,83,82,7A,71,72,8D,83,65,74,67
8B,82,6D,76,81,8C,65,80,67,7F,85,6C,75,75,7D,73
85,87,7F,7F,84,89,82,84,6D,74,9B,7F,83,7F,8A,89
76,7A,84,95,76,84,84,98,78,88,87,67,7A,76,66,88
89,8D,6B,83,60,7D,6B,85,9C,75,63,6B,8A,5D,8C,79
72,7F,7A,76,7C,75,79,73,7A,81,88,78,85,8F,90,81
8A,80,7D,6C,65,83,7E,7F,85,79,97,99,86,8D,85,8C
9A,84,83,6C,76,8B,94,78,8B,6B,70,95,73,89,5D,8D
93,87,77,74,5E,77,6D,8B,79,94,71,71,7D,69,96,86
72,7F,A0,85,60,73,67,5B,8C,6A,8B,90,6E,87,7E,70
A8,64,78,7D,76,9B,7F,92,A4,6D,73,5F,8A,77,8D,69
80,7E,88,74,83,7D,85,80,78,83,7F,98,6A,8A,81,7F
